Date,WinWL,WinWLLstm
2021/06/01 07:58:01,0,1
2021/06/01 07:58:29,1,0
2021/06/01 07:59:19,1,0
2021/06/01 07:59:37,1,0
2021/06/01 07:59:49,0,1
2021/06/01 08:00:03,0,1
2021/06/01 08:00:18,0,1
2021/06/01 08:00:38,0,1
2021/06/01 08:01:21,0,1
2021/06/01 08:01:31,0,1
2021/06/01 08:01:45,1,0
2021/06/01 08:02:02,1,0
2021/06/01 08:02:14,0,1
2021/06/01 08:06:06,0,1
2021/06/01 08:07:56,1,0
2021/06/01 08:08:01,0,1
2021/06/01 08:08:23,1,0
2021/06/01 08:09:03,1,0
2021/06/01 08:09:14,0,1
2021/06/01 08:09:27,0,1
2021/06/01 08:09:53,1,0
2021/06/01 08:10:04,0,1
2021/06/01 08:10:20,1,0
2021/06/01 08:10:39,1,0
2021/06/01 08:10:50,0,1
2021/06/01 08:11:21,1,0
2021/06/01 08:11:42,0,1
2021/06/01 08:13:48,0,1
2021/06/01 08:14:40,1,0
2021/06/01 08:14:53,0,1
2021/06/01 08:15:00,0,1
2021/06/01 08:15:12,0,1
2021/06/01 08:15:44,1,0
2021/06/01 08:15:55,0,1
2021/06/01 08:16:01,0,1
2021/06/01 08:16:12,1,0
2021/06/01 08:16:29,0,1
2021/06/01 08:16:37,0,1
2021/06/01 08:16:48,0,1
2021/06/01 08:17:34,0,1
2021/06/01 08:17:47,0,1
2021/06/01 08:18:10,1,0
2021/06/01 08:18:46,1,0
2021/06/01 08:19:00,1,0
2021/06/01 08:19:10,1,0
2021/06/01 08:19:19,0,1
2021/06/01 08:21:16,0,1
2021/06/01 08:21:30,1,0
2021/06/01 08:21:38,0,1
2021/06/01 08:21:56,0,1
2021/06/01 08:22:27,1,0
2021/06/01 08:22:39,0,1
2021/06/01 08:23:07,1,0
2021/06/01 08:23:17,0,1
2021/06/01 08:23:29,1,0
2021/06/01 08:23:38,1,0
2021/06/01 08:24:04,1,0
2021/06/01 08:24:31,0,1
2021/06/01 08:24:40,0,1
2021/06/01 08:25:01,0,1
2021/06/01 08:25:12,1,0
2021/06/01 08:25:17,0,1
2021/06/01 08:25:17,1,0
2021/06/01 08:25:41,1,0
2021/06/01 08:26:04,1,0
2021/06/01 08:26:09,0,1
2021/06/01 08:26:20,1,0
2021/06/01 08:26:39,1,0
2021/06/01 08:26:56,1,0
2021/06/01 08:27:17,1,0
2021/06/01 08:27:37,0,1
2021/06/01 08:27:59,1,0
2021/06/01 08:30:07,1,0
2021/06/01 08:31:21,0,1
2021/06/01 08:32:42,0,1
2021/06/01 08:32:51,0,1
2021/06/01 08:33:11,1,0
2021/06/01 08:33:16,0,1
2021/06/01 08:33:29,0,1
2021/06/01 08:33:37,1,0
2021/06/01 08:33:48,0,1
2021/06/01 08:34:01,1,0
2021/06/01 08:36:00,0,1
2021/06/01 08:36:40,0,1
2021/06/01 08:37:06,0,1
2021/06/01 08:37:18,1,0
2021/06/01 08:39:51,0,1
2021/06/01 08:40:15,0,1
2021/06/01 08:40:27,0,1
2021/06/01 08:42:14,1,0
2021/06/01 08:42:22,0,1
2021/06/01 08:42:44,1,0
2021/06/01 08:42:53,1,0
2021/06/01 08:43:10,1,0
2021/06/01 08:43:20,0,1
2021/06/01 08:43:25,1,0
2021/06/01 08:43:51,0,1
2021/06/01 08:47:22,0,1
2021/06/01 08:47:38,1,0
2021/06/01 08:49:49,1,0
2021/06/01 08:50:02,1,0
2021/06/01 08:51:52,0,1
2021/06/01 08:52:01,1,0
2021/06/01 08:52:26,0,1
2021/06/01 08:52:34,1,0
2021/06/01 08:53:14,0,1
2021/06/01 08:53:53,0,1
2021/06/01 08:54:09,0,1
2021/06/01 08:54:44,0,1
2021/06/01 08:54:50,0,1
2021/06/01 08:54:59,0,1
2021/06/01 08:55:19,0,1
2021/06/01 08:57:11,1,0
2021/06/01 08:57:35,1,0
2021/06/01 08:59:35,0,1
2021/06/01 08:59:45,0,1
2021/06/01 09:00:05,1,0
2021/06/01 09:00:08,0,1
2021/06/01 09:00:38,1,0
2021/06/01 09:00:50,1,0
2021/06/01 09:01:18,0,1
2021/06/01 09:04:44,0,1
2021/06/01 09:05:07,1,0
2021/06/01 09:07:00,0,1
2021/06/01 09:08:54,1,0
2021/06/01 09:09:20,1,0
2021/06/01 09:09:29,1,0
2021/06/01 09:10:03,0,1
2021/06/01 09:10:27,1,0
2021/06/01 09:10:36,1,0
2021/06/01 09:11:02,0,1
2021/06/01 09:11:14,1,0
2021/06/01 09:11:26,1,0
2021/06/01 09:13:33,0,1
2021/06/01 09:13:41,1,0
2021/06/01 09:13:59,0,1
2021/06/01 09:14:12,1,0
2021/06/01 09:14:26,0,1
2021/06/01 09:14:33,0,1
2021/06/01 09:14:45,1,0
2021/06/01 09:18:28,1,0
2021/06/01 09:19:26,0,1
2021/06/01 09:19:33,0,1
2021/06/01 09:20:00,0,1
2021/06/01 09:20:20,0,1
2021/06/01 09:20:40,0,1
2021/06/01 09:20:46,0,1
2021/06/01 09:21:10,1,0
2021/06/01 09:21:15,0,1
2021/06/01 09:22:21,0,1
2021/06/01 09:22:38,0,1
2021/06/01 09:22:50,0,1
2021/06/01 09:23:01,0,1
2021/06/01 09:23:11,1,0
2021/06/01 09:23:27,1,0
2021/06/01 09:23:39,0,1
2021/06/01 09:23:59,0,1
2021/06/01 09:24:03,0,1
2021/06/01 09:24:10,0,1
2021/06/01 09:24:23,0,1
2021/06/01 09:24:43,1,0
2021/06/01 09:25:08,0,1
2021/06/01 09:25:27,1,0
2021/06/01 09:25:42,1,0
2021/06/01 09:26:06,1,0
2021/06/01 09:26:12,0,1
2021/06/01 09:26:28,0,1
2021/06/01 09:26:45,1,0
2021/06/01 09:26:51,0,1
2021/06/01 09:27:14,0,1
2021/06/01 09:27:22,1,0
2021/06/01 09:27:32,1,0
2021/06/01 09:27:37,0,1
2021/06/01 09:27:45,0,1
2021/06/01 09:27:55,0,1
2021/06/01 09:28:01,1,0
2021/06/01 09:28:25,1,0
2021/06/01 09:28:57,0,1
2021/06/01 09:30:50,0,1
2021/06/01 09:31:09,0,1
2021/06/01 09:31:34,1,0
2021/06/01 09:31:50,1,0
2021/06/01 09:31:59,0,1
2021/06/01 09:32:11,0,1
2021/06/01 09:32:54,0,1
2021/06/01 09:33:15,1,0
2021/06/01 09:34:13,0,1
2021/06/01 09:34:41,0,1
2021/06/01 09:34:56,1,0
2021/06/01 09:35:22,0,1
2021/06/01 09:35:41,0,1
2021/06/01 09:35:52,1,0
2021/06/01 09:36:09,0,1
2021/06/01 09:36:29,0,1
2021/06/01 09:36:41,0,1
2021/06/01 09:37:13,1,0
2021/06/01 09:37:43,1,0
2021/06/01 09:38:00,1,0
2021/06/01 09:39:45,0,1
2021/06/01 09:41:31,0,1
2021/06/01 09:41:44,0,1
2021/06/01 09:42:03,0,1
2021/06/01 09:42:33,0,1
2021/06/01 09:42:45,0,1
2021/06/01 09:43:01,1,0
2021/06/01 09:43:30,1,0
2021/06/01 09:43:40,0,1
2021/06/01 09:43:57,1,0
2021/06/01 09:44:20,0,1
2021/06/01 09:47:52,1,0
2021/06/01 09:48:06,0,1
2021/06/01 09:48:24,0,1
2021/06/01 09:48:35,1,0
2021/06/01 09:50:22,1,0
2021/06/01 09:50:34,1,0
2021/06/01 09:50:52,1,0
2021/06/01 09:51:08,1,0
2021/06/01 09:51:29,1,0
2021/06/01 09:53:29,0,1
2021/06/01 09:54:00,1,0
2021/06/01 09:54:14,1,0
2021/06/01 09:54:20,1,0
2021/06/01 09:56:15,1,0
2021/06/01 09:56:57,0,1
2021/06/01 09:57:07,0,1
2021/06/01 09:57:23,0,1
2021/06/01 09:57:34,0,1
2021/06/01 09:57:45,1,0
2021/06/01 09:57:57,0,1
2021/06/01 09:59:55,1,0
2021/06/01 10:00:02,1,0
2021/06/01 10:00:08,0,1
2021/06/01 10:00:25,1,0
2021/06/01 10:01:01,0,1
2021/06/01 10:01:04,1,0
2021/06/01 10:01:29,1,0
2021/06/01 10:01:39,1,0
2021/06/01 10:01:51,1,0
2021/06/01 10:01:58,0,1
2021/06/01 10:02:17,1,0
2021/06/01 10:02:51,0,1
2021/06/01 10:03:23,0,1
2021/06/01 10:03:50,1,0
2021/06/01 10:04:17,0,1
2021/06/01 10:04:31,1,0
2021/06/01 10:04:39,1,0
2021/06/01 10:05:40,0,1
2021/06/01 10:05:51,0,1
2021/06/01 10:05:59,0,1
2021/06/01 10:06:36,1,0
2021/06/01 10:08:27,1,0
2021/06/01 10:08:47,1,0
2021/06/01 10:09:16,0,1
2021/06/01 10:09:34,1,0
2021/06/01 10:09:44,0,1
2021/06/01 10:09:57,0,1
2021/06/01 10:10:06,0,1
2021/06/01 10:10:22,0,1
2021/06/01 10:12:19,0,1
2021/06/01 10:12:27,0,1
2021/06/01 10:12:54,0,1
2021/06/01 10:13:05,0,1
2021/06/01 10:13:21,1,0
2021/06/01 10:17:02,0,1
2021/06/01 10:17:09,0,1
2021/06/01 10:22:15,0,1
2021/06/01 10:22:27,1,0
2021/06/01 10:22:37,1,0
2021/06/01 10:22:52,1,0
2021/06/01 10:23:01,0,1
2021/06/01 10:23:17,1,0
2021/06/01 10:23:35,0,1
2021/06/01 10:24:00,1,0
2021/06/01 10:24:10,0,1
2021/06/01 10:24:19,0,1
2021/06/01 10:24:41,0,1
2021/06/01 10:24:52,1,0
2021/06/01 10:25:04,1,0
2021/06/01 10:25:25,1,0
2021/06/01 10:25:32,0,1
2021/06/01 10:26:23,0,1
2021/06/01 10:26:39,0,1
2021/06/01 10:27:50,1,0
2021/06/01 10:27:59,0,1
2021/06/01 10:28:27,0,1
2021/06/01 10:32:04,0,1
2021/06/01 10:32:09,0,1
2021/06/01 10:32:18,1,0
2021/06/01 10:32:27,0,1
2021/06/01 10:32:54,1,0
2021/06/01 10:33:11,1,0
2021/06/01 10:33:20,1,0
2021/06/01 10:33:42,1,0
2021/06/01 10:34:06,0,1
2021/06/01 10:34:57,1,0
2021/06/01 10:36:46,0,1
2021/06/01 10:37:04,1,0
2021/06/01 10:37:25,1,0
2021/06/01 10:39:15,1,0
2021/06/01 10:44:41,0,1
2021/06/01 10:44:56,0,1
2021/06/01 10:45:08,1,0
2021/06/01 10:47:48,0,1
2021/06/01 10:49:40,1,0
2021/06/01 10:49:59,0,1
2021/06/01 10:50:17,0,1
2021/06/01 10:50:22,0,1
