Date,WinRobotSumoWL80SD12FOV,WinRobotSumoWL200SD30FOV
2021/06/13 08:57:14,1,0
2021/06/13 08:57:15,0,1
2021/06/13 08:57:19,0,1
2021/06/13 08:57:21,1,0
2021/06/13 08:57:24,1,0
2021/06/13 08:57:24,0,1
2021/06/13 08:57:27,1,0
2021/06/13 08:57:29,1,0
2021/06/13 08:57:29,1,0
2021/06/13 08:57:32,0,1
2021/06/13 08:57:32,1,0
2021/06/13 08:57:34,1,0
2021/06/13 08:57:40,1,0
2021/06/13 08:57:40,0,1
2021/06/13 08:57:45,0,1
2021/06/13 08:57:46,0,1
2021/06/13 08:57:48,0,1
2021/06/13 08:57:52,1,0
2021/06/13 08:57:53,0,1
2021/06/13 08:57:54,1,0
2021/06/13 08:57:55,0,1
2021/06/13 08:57:58,0,1
2021/06/13 08:57:59,0,1
2021/06/13 08:57:59,1,0
2021/06/13 08:58:00,0,1
2021/06/13 08:58:00,0,1
2021/06/13 08:58:01,1,0
2021/06/13 08:58:01,1,0
2021/06/13 08:58:04,1,0
2021/06/13 08:58:08,0,1
2021/06/13 08:58:12,0,1
2021/06/13 08:58:16,0,1
2021/06/13 08:58:23,0,1
2021/06/13 08:58:24,1,0
2021/06/13 08:58:26,1,0
2021/06/13 08:58:27,0,1
2021/06/13 08:58:28,1,0
2021/06/13 08:58:31,1,0
2021/06/13 08:58:32,1,0
2021/06/13 08:58:33,0,1
2021/06/13 08:58:33,1,0
2021/06/13 08:58:36,1,0
2021/06/13 08:58:48,0,1
2021/06/13 08:58:48,0,1
2021/06/13 08:58:48,1,0
2021/06/13 08:58:55,0,1
2021/06/13 08:58:55,0,1
2021/06/13 08:58:58,1,0
2021/06/13 08:58:59,0,1
2021/06/13 08:58:59,0,1
2021/06/13 08:59:01,1,0
2021/06/13 08:59:06,1,0
2021/06/13 08:59:06,1,0
2021/06/13 08:59:07,0,1
2021/06/13 08:59:07,1,0
2021/06/13 08:59:09,1,0
2021/06/13 08:59:10,1,0
2021/06/13 08:59:12,1,0
2021/06/13 08:59:12,0,1
2021/06/13 08:59:13,0,1
2021/06/13 08:59:14,0,1
2021/06/13 08:59:15,1,0
2021/06/13 08:59:15,0,1
2021/06/13 08:59:15,1,0
2021/06/13 08:59:17,1,0
2021/06/13 08:59:18,1,0
2021/06/13 08:59:18,1,0
2021/06/13 08:59:18,1,0
2021/06/13 08:59:18,0,1
2021/06/13 08:59:19,1,0
2021/06/13 08:59:21,1,0
2021/06/13 08:59:23,0,1
2021/06/13 08:59:25,1,0
2021/06/13 08:59:30,1,0
2021/06/13 08:59:30,1,0
2021/06/13 08:59:32,1,0
2021/06/13 08:59:32,1,0
2021/06/13 08:59:33,1,0
2021/06/13 08:59:34,1,0
2021/06/13 08:59:35,1,0
2021/06/13 08:59:40,1,0
2021/06/13 08:59:41,1,0
2021/06/13 08:59:42,0,1
2021/06/13 08:59:43,1,0
2021/06/13 08:59:43,0,1
2021/06/13 08:59:44,1,0
2021/06/13 08:59:48,1,0
2021/06/13 08:59:48,0,1
2021/06/13 08:59:48,1,0
2021/06/13 08:59:49,1,0
2021/06/13 08:59:50,1,0
2021/06/13 08:59:52,1,0
2021/06/13 08:59:52,0,1
2021/06/13 08:59:53,0,1
2021/06/13 08:59:54,1,0
2021/06/13 08:59:55,0,1
2021/06/13 08:59:58,0,1
2021/06/13 08:59:59,0,1
2021/06/13 08:59:59,0,1
2021/06/13 09:00:02,1,0
2021/06/13 09:00:02,1,0
2021/06/13 09:00:03,1,0
2021/06/13 09:00:04,0,1
2021/06/13 09:00:06,0,1
2021/06/13 09:00:07,0,1
2021/06/13 09:00:11,1,0
2021/06/13 09:00:11,0,1
2021/06/13 09:00:11,0,1
2021/06/13 09:00:12,0,1
2021/06/13 09:00:13,1,0
2021/06/13 09:00:13,1,0
2021/06/13 09:00:14,1,0
2021/06/13 09:00:15,1,0
2021/06/13 09:00:15,0,1
