Date,WinWL_80SD_12FOV,WinWL_40SD_6FOV
2021/06/09 08:26:36,1,0
2021/06/09 08:26:38,1,0
2021/06/09 08:26:40,0,1
2021/06/09 08:26:40,1,0
2021/06/09 08:26:42,1,0
2021/06/09 08:26:42,1,0
2021/06/09 08:26:43,1,0
2021/06/09 08:26:44,1,0
2021/06/09 08:26:45,0,1
2021/06/09 08:26:45,1,0
2021/06/09 08:26:46,1,0
2021/06/09 08:26:47,1,0
2021/06/09 08:26:50,0,1
2021/06/09 08:26:50,1,0
2021/06/09 08:26:56,0,1
2021/06/09 08:26:57,1,0
2021/06/09 08:26:57,1,0
2021/06/09 08:26:58,1,0
2021/06/09 08:26:58,0,1
2021/06/09 08:26:59,0,1
2021/06/09 08:27:01,0,1
2021/06/09 08:27:01,1,0
2021/06/09 08:27:02,1,0
2021/06/09 08:27:03,1,0
2021/06/09 08:27:06,1,0
2021/06/09 08:27:07,1,0
2021/06/09 08:27:07,1,0
2021/06/09 08:27:08,1,0
2021/06/09 08:27:11,0,1
2021/06/09 08:27:12,1,0
2021/06/09 08:27:13,1,0
2021/06/09 08:27:14,1,0
2021/06/09 08:27:16,1,0
2021/06/09 08:27:18,0,1
2021/06/09 08:27:18,1,0
2021/06/09 08:27:18,1,0
2021/06/09 08:27:20,1,0
2021/06/09 08:27:25,0,1
2021/06/09 08:27:26,1,0
2021/06/09 08:27:29,1,0
2021/06/09 08:27:29,0,1
2021/06/09 08:27:31,1,0
2021/06/09 08:27:32,1,0
2021/06/09 08:27:33,1,0
2021/06/09 08:27:34,1,0
2021/06/09 08:27:34,0,1
2021/06/09 08:27:34,0,1
2021/06/09 08:27:35,1,0
2021/06/09 08:27:36,1,0
2021/06/09 08:27:36,1,0
2021/06/09 08:27:39,1,0
2021/06/09 08:27:41,1,0
2021/06/09 08:27:46,0,1
2021/06/09 08:27:46,1,0
2021/06/09 08:27:49,1,0
2021/06/09 08:27:50,1,0
2021/06/09 08:27:54,1,0
2021/06/09 08:27:56,0,1
2021/06/09 08:27:56,1,0
2021/06/09 08:27:57,1,0
2021/06/09 08:27:58,1,0
2021/06/09 08:27:58,1,0
2021/06/09 08:27:59,1,0
2021/06/09 08:28:00,1,0
2021/06/09 08:28:09,1,0
2021/06/09 08:28:10,1,0
2021/06/09 08:28:13,0,1
2021/06/09 08:28:14,1,0
2021/06/09 08:28:17,0,1
2021/06/09 08:28:18,0,1
2021/06/09 08:28:18,0,1
2021/06/09 08:28:19,1,0
2021/06/09 08:28:20,1,0
2021/06/09 08:28:22,1,0
2021/06/09 08:28:24,0,1
2021/06/09 08:28:26,1,0
2021/06/09 08:28:28,0,1
2021/06/09 08:28:28,0,1
2021/06/09 08:28:31,1,0
2021/06/09 08:28:31,1,0
2021/06/09 08:28:34,1,0
2021/06/09 08:28:34,0,1
2021/06/09 08:28:35,1,0
2021/06/09 08:28:36,0,1
2021/06/09 08:28:37,1,0
2021/06/09 08:28:38,1,0
2021/06/09 08:28:39,1,0
2021/06/09 08:28:40,1,0
2021/06/09 08:28:40,1,0
2021/06/09 08:28:41,1,0
2021/06/09 08:28:41,1,0
2021/06/09 08:28:41,0,1
2021/06/09 08:28:42,0,1
2021/06/09 08:28:43,1,0
2021/06/09 08:28:45,0,1
2021/06/09 08:28:48,0,1
2021/06/09 08:28:49,1,0
2021/06/09 08:28:49,0,1
2021/06/09 08:28:51,0,1
2021/06/09 08:28:54,1,0
2021/06/09 08:28:54,0,1
2021/06/09 08:28:58,1,0
2021/06/09 08:28:59,1,0
2021/06/09 08:28:59,1,0
2021/06/09 08:29:00,1,0
2021/06/09 08:29:00,1,0
2021/06/09 08:29:00,0,1
2021/06/09 08:29:02,0,1
2021/06/09 08:29:03,0,1
2021/06/09 08:29:03,1,0
2021/06/09 08:29:05,1,0
2021/06/09 08:29:05,0,1
2021/06/09 08:29:10,1,0
2021/06/09 08:29:10,0,1
2021/06/09 08:29:11,1,0
2021/06/09 08:29:12,1,0
2021/06/09 08:29:14,1,0
2021/06/09 08:29:16,1,0
2021/06/09 08:29:17,0,1
2021/06/09 08:29:19,1,0
2021/06/09 08:29:20,1,0
2021/06/09 08:29:22,1,0
2021/06/09 08:29:26,0,1
2021/06/09 08:29:26,0,1
2021/06/09 08:29:27,0,1
2021/06/09 08:29:30,1,0
2021/06/09 08:29:32,1,0
2021/06/09 08:29:33,0,1
2021/06/09 08:29:34,0,1
2021/06/09 08:29:35,1,0
2021/06/09 08:29:35,0,1
2021/06/09 08:29:35,1,0
2021/06/09 08:29:36,1,0
2021/06/09 08:29:37,1,0
2021/06/09 08:29:39,1,0
2021/06/09 08:29:40,1,0
2021/06/09 08:29:42,1,0
2021/06/09 08:29:44,0,1
2021/06/09 08:29:44,1,0
2021/06/09 08:29:44,0,1
2021/06/09 08:29:46,1,0
2021/06/09 08:29:49,1,0
2021/06/09 08:29:53,1,0
2021/06/09 08:29:54,0,1
2021/06/09 08:29:54,1,0
2021/06/09 08:29:56,1,0
2021/06/09 08:29:56,0,1
2021/06/09 08:29:56,1,0
2021/06/09 08:29:57,0,1
2021/06/09 08:30:03,1,0
2021/06/09 08:30:04,0,1
2021/06/09 08:30:05,1,0
2021/06/09 08:30:06,1,0
2021/06/09 08:30:06,1,0
2021/06/09 08:30:07,1,0
2021/06/09 08:30:08,1,0
2021/06/09 08:30:08,1,0
2021/06/09 08:30:12,0,1
2021/06/09 08:30:12,0,1
2021/06/09 08:30:13,1,0
2021/06/09 08:30:15,1,0
2021/06/09 08:30:15,1,0
2021/06/09 08:30:15,1,0
2021/06/09 08:30:15,0,1
2021/06/09 08:30:16,1,0
2021/06/09 08:30:16,0,1
2021/06/09 08:30:19,1,0
2021/06/09 08:30:20,0,1
2021/06/09 08:30:21,1,0
2021/06/09 08:30:23,1,0
2021/06/09 08:30:24,0,1
2021/06/09 08:30:25,0,1
2021/06/09 08:30:25,1,0
2021/06/09 08:30:25,1,0
2021/06/09 08:30:25,1,0
2021/06/09 08:30:27,0,1
2021/06/09 08:30:29,1,0
2021/06/09 08:30:29,1,0
2021/06/09 08:30:31,0,1
2021/06/09 08:30:32,0,1
2021/06/09 08:30:32,1,0
2021/06/09 08:30:33,1,0
2021/06/09 08:30:33,1,0
2021/06/09 08:30:33,1,0
2021/06/09 08:30:33,1,0
2021/06/09 08:30:33,1,0
2021/06/09 08:30:33,1,0
2021/06/09 08:30:34,1,0
2021/06/09 08:30:35,1,0
2021/06/09 08:30:35,1,0
2021/06/09 08:30:36,0,1
2021/06/09 08:30:37,1,0
2021/06/09 08:30:37,1,0
2021/06/09 08:30:38,0,1
2021/06/09 08:30:39,1,0
2021/06/09 08:30:41,1,0
2021/06/09 08:30:41,1,0
2021/06/09 08:30:43,0,1
2021/06/09 08:30:44,1,0
2021/06/09 08:30:45,0,1
2021/06/09 08:30:45,1,0
2021/06/09 08:30:47,1,0
2021/06/09 08:30:47,1,0
