Date,WinCL,WinWL
2021/05/25 11:25:47,1,0
2021/05/25 11:26:09,0,1
2021/05/25 11:26:36,0,1
2021/05/25 11:26:38,1,0
2021/05/25 11:26:59,1,0
2021/05/25 11:27:21,1,0
2021/05/25 11:27:41,0,1
2021/05/25 11:28:11,1,0
2021/05/25 11:28:27,0,1
2021/05/25 11:30:20,0,1
2021/05/25 11:30:30,0,1
2021/05/25 11:30:42,0,1
2021/05/25 11:30:50,1,0
2021/05/25 11:31:00,0,1
2021/05/25 11:31:28,1,0
2021/05/25 11:31:47,0,1
2021/05/25 11:31:51,1,0
2021/05/25 11:32:02,0,1
2021/05/25 11:32:35,0,1
2021/05/25 11:32:49,1,0
2021/05/25 11:33:17,1,0
2021/05/25 11:33:24,1,0
2021/05/25 11:33:40,0,1
2021/05/25 11:34:00,1,0
2021/05/25 11:34:19,0,1
2021/05/25 11:34:22,1,0
2021/05/25 11:34:47,1,0
2021/05/25 11:34:58,0,1
2021/05/25 11:35:02,1,0
2021/05/25 11:35:11,1,0
2021/05/25 11:35:24,0,1
2021/05/25 11:35:30,0,1
2021/05/25 11:37:34,0,1
2021/05/25 11:37:38,0,1
2021/05/25 11:37:43,1,0
2021/05/25 11:37:54,0,1
2021/05/25 11:38:04,1,0
2021/05/25 11:38:17,1,0
2021/05/25 11:38:48,0,1
2021/05/25 11:38:50,1,0
2021/05/25 11:38:53,1,0
2021/05/25 11:38:59,0,1
2021/05/25 11:39:11,1,0
2021/05/25 11:39:16,1,0
2021/05/25 11:39:27,1,0
2021/05/25 11:39:42,0,1
2021/05/25 11:39:56,1,0
2021/05/25 11:40:10,0,1
2021/05/25 11:40:21,0,1
2021/05/25 11:40:27,1,0
2021/05/25 11:40:59,0,1
2021/05/25 11:41:18,0,1
2021/05/25 11:41:29,0,1
2021/05/25 11:41:40,0,1
2021/05/25 11:41:45,1,0
2021/05/25 11:41:53,1,0
2021/05/25 11:42:08,0,1
2021/05/25 11:42:25,0,1
2021/05/25 11:42:32,0,1
2021/05/25 11:42:35,1,0
2021/05/25 11:42:50,0,1
2021/05/25 11:43:01,1,0
2021/05/25 11:43:07,1,0
2021/05/25 11:43:16,0,1
2021/05/25 11:43:23,0,1
2021/05/25 11:43:48,0,1
2021/05/25 11:43:50,1,0
2021/05/25 11:44:12,0,1
2021/05/25 11:45:03,0,1
2021/05/25 11:45:16,0,1
2021/05/25 11:45:33,0,1
2021/05/25 11:45:40,0,1
2021/05/25 11:46:14,1,0
2021/05/25 11:46:36,0,1
2021/05/25 11:46:45,0,1
2021/05/25 11:47:02,0,1
2021/05/25 11:47:10,0,1
2021/05/25 11:47:19,0,1
2021/05/25 11:47:22,1,0
2021/05/25 11:47:43,0,1
2021/05/25 11:47:52,0,1
2021/05/25 11:48:02,1,0
2021/05/25 11:48:11,0,1
2021/05/25 11:48:23,0,1
2021/05/25 11:50:29,0,1
2021/05/25 11:50:47,1,0
2021/05/25 11:51:07,0,1
2021/05/25 11:51:44,1,0
2021/05/25 11:51:48,1,0
2021/05/25 11:52:30,1,0
2021/05/25 11:52:48,0,1
2021/05/25 11:52:54,0,1
2021/05/25 11:53:07,1,0
2021/05/25 11:53:24,1,0
2021/05/25 11:53:40,1,0
2021/05/25 11:55:28,0,1
2021/05/25 11:55:43,0,1
2021/05/25 11:55:47,1,0
2021/05/25 11:55:52,1,0
2021/05/25 11:55:56,1,0
2021/05/25 11:56:27,1,0
2021/05/25 11:56:33,1,0
2021/05/25 11:56:57,0,1
2021/05/25 11:57:03,1,0
2021/05/25 11:59:08,0,1
2021/05/25 11:59:46,0,1
2021/05/25 11:59:52,0,1
2021/05/26 12:00:00,0,1
2021/05/26 12:00:13,0,1
2021/05/26 12:00:23,0,1
2021/05/26 12:00:33,0,1
2021/05/26 12:00:46,1,0
2021/05/26 12:00:55,0,1
2021/05/26 12:03:06,1,0
2021/05/26 12:03:18,0,1
2021/05/26 12:03:30,1,0
2021/05/26 12:03:39,0,1
2021/05/26 12:03:46,1,0
2021/05/26 12:03:53,0,1
2021/05/26 12:04:15,1,0
2021/05/26 12:04:46,0,1
2021/05/26 12:04:49,1,0
2021/05/26 12:05:09,0,1
2021/05/26 12:05:16,1,0
2021/05/26 12:05:30,0,1
2021/05/26 12:08:59,1,0
2021/05/26 12:09:36,0,1
2021/05/26 12:09:50,0,1
2021/05/26 12:09:55,0,1
2021/05/26 12:10:14,0,1
2021/05/26 12:10:32,1,0
2021/05/26 12:10:38,0,1
2021/05/26 12:10:48,0,1
2021/05/26 12:11:07,0,1
2021/05/26 12:11:16,1,0
2021/05/26 12:11:27,0,1
2021/05/26 12:11:44,0,1
2021/05/26 12:11:47,1,0
2021/05/26 12:11:54,0,1
2021/05/26 12:12:15,1,0
2021/05/26 12:12:24,1,0
2021/05/26 12:12:46,0,1
2021/05/26 12:13:02,1,0
2021/05/26 12:13:21,1,0
2021/05/26 12:14:02,1,0
2021/05/26 12:14:14,1,0
2021/05/26 12:14:23,1,0
2021/05/26 12:14:29,1,0
2021/05/26 12:15:03,0,1
2021/05/26 12:15:06,1,0
2021/05/26 12:15:15,0,1
2021/05/26 12:15:25,0,1
2021/05/26 12:15:37,0,1
2021/05/26 12:15:43,1,0
2021/05/26 12:15:57,0,1
2021/05/26 12:16:08,0,1
2021/05/26 12:16:20,0,1
2021/05/26 12:16:27,0,1
2021/05/26 12:16:34,0,1
2021/05/26 12:16:42,0,1
2021/05/26 12:16:52,1,0
2021/05/26 12:17:05,1,0
2021/05/26 12:17:19,0,1
2021/05/26 12:17:25,1,0
2021/05/26 12:17:47,1,0
2021/05/26 12:18:14,0,1
2021/05/26 12:18:39,0,1
2021/05/26 12:18:57,0,1
2021/05/26 12:21:00,0,1
2021/05/26 12:21:10,0,1
2021/05/26 12:21:20,0,1
2021/05/26 12:21:55,0,1
2021/05/26 12:22:07,1,0
2021/05/26 12:24:11,0,1
2021/05/26 12:24:30,0,1
2021/05/26 12:24:39,0,1
2021/05/26 12:24:45,1,0
2021/05/26 12:25:11,0,1
2021/05/26 12:25:21,0,1
2021/05/26 12:25:34,0,1
2021/05/26 12:25:52,0,1
2021/05/26 12:26:11,0,1
2021/05/26 12:26:34,0,1
2021/05/26 12:28:34,1,0
2021/05/26 12:28:57,0,1
2021/05/26 12:29:03,0,1
2021/05/26 12:29:21,0,1
2021/05/26 12:29:38,1,0
2021/05/26 12:29:50,0,1
2021/05/26 12:31:55,0,1
2021/05/26 12:32:21,0,1
2021/05/26 12:33:42,1,0
2021/05/26 12:34:01,0,1
2021/05/26 12:34:11,0,1
2021/05/26 12:34:33,0,1
2021/05/26 12:34:59,0,1
2021/05/26 12:35:10,1,0
2021/05/26 12:35:20,1,0
2021/05/26 12:35:25,1,0
2021/05/26 12:35:45,0,1
2021/05/26 12:35:52,0,1
2021/05/26 12:36:33,0,1
2021/05/26 12:36:42,0,1
2021/05/26 12:37:16,0,1
2021/05/26 12:37:21,1,0
2021/05/26 12:37:27,0,1
2021/05/26 12:37:29,0,1
2021/05/26 12:37:40,0,1
2021/05/26 12:37:47,1,0
2021/05/26 12:37:58,0,1
2021/05/26 12:38:03,1,0
2021/05/26 12:38:16,0,1
2021/05/26 12:39:22,0,1
2021/05/26 12:39:37,0,1
2021/05/26 12:39:49,0,1
2021/05/26 12:39:58,0,1
2021/05/26 12:40:09,1,0
2021/05/26 12:40:14,1,0
2021/05/26 12:40:42,0,1
2021/05/26 12:40:52,0,1
2021/05/26 12:40:57,1,0
2021/05/26 12:41:02,1,0
2021/05/26 12:41:06,1,0
2021/05/26 12:41:12,0,1
2021/05/26 12:41:28,0,1
2021/05/26 12:41:39,0,1
2021/05/26 12:41:58,1,0
2021/05/26 12:42:12,0,1
2021/05/26 12:42:30,0,1
2021/05/26 12:42:34,1,0
2021/05/26 12:42:42,1,0
2021/05/26 12:42:47,0,1
2021/05/26 12:43:08,1,0
2021/05/26 12:43:15,0,1
2021/05/26 12:43:19,1,0
2021/05/26 12:44:05,0,1
2021/05/26 12:44:09,0,1
2021/05/26 12:44:28,1,0
2021/05/26 12:44:32,1,0
2021/05/26 12:45:02,1,0
2021/05/26 12:46:49,0,1
2021/05/26 12:47:13,1,0
2021/05/26 12:47:18,1,0
2021/05/26 12:47:41,1,0
2021/05/26 12:47:47,1,0
2021/05/26 12:48:06,1,0
2021/05/26 12:48:26,0,1
2021/05/26 12:48:43,0,1
2021/05/26 12:48:50,0,1
2021/05/26 12:48:57,0,1
2021/05/26 12:49:09,0,1
2021/05/26 12:49:23,0,1
2021/05/26 12:51:33,0,1
2021/05/26 12:51:37,1,0
2021/05/26 12:51:57,0,1
2021/05/26 12:52:14,0,1
2021/05/26 12:52:27,0,1
2021/05/26 12:52:41,0,1
2021/05/26 12:52:50,0,1
2021/05/26 12:54:39,1,0
2021/05/26 12:54:59,0,1
2021/05/26 12:55:03,1,0
2021/05/26 12:55:04,0,1
2021/05/26 12:55:15,0,1
2021/05/26 12:55:21,1,0
2021/05/26 12:55:41,1,0
2021/05/26 12:55:48,1,0
2021/05/26 12:56:59,0,1
2021/05/26 12:57:07,0,1
2021/05/26 12:57:17,0,1
2021/05/26 12:57:26,1,0
2021/05/26 12:57:50,0,1
2021/05/26 12:58:04,0,1
2021/05/26 12:58:25,0,1
2021/05/26 12:58:57,0,1
2021/05/26 12:59:03,0,1
2021/05/26 12:59:58,0,1
2021/05/26 01:00:01,1,0
2021/05/26 01:00:15,0,1
2021/05/26 01:00:45,1,0
2021/05/26 01:01:22,0,1
2021/05/26 01:01:39,0,1
2021/05/26 01:01:57,0,1
2021/05/26 01:02:13,0,1
2021/05/26 01:02:38,1,0
2021/05/26 01:04:55,0,1
2021/05/26 01:05:02,1,0
2021/05/26 01:05:05,0,1
2021/05/26 01:05:11,1,0
2021/05/26 01:05:15,0,1
2021/05/26 01:05:25,0,1
2021/05/26 01:05:29,1,0
2021/05/26 01:05:35,1,0
2021/05/26 01:05:54,0,1
2021/05/26 01:06:00,1,0
2021/05/26 01:06:18,0,1
2021/05/26 01:06:52,1,0
2021/05/26 01:07:03,1,0
2021/05/26 01:09:07,0,1
2021/05/26 01:09:15,1,0
2021/05/26 01:10:15,1,0
2021/05/26 01:10:22,1,0
2021/05/26 01:10:43,0,1
2021/05/26 01:11:12,1,0
2021/05/26 01:11:32,1,0
2021/05/26 01:11:42,0,1
2021/05/26 01:11:45,1,0
2021/05/26 01:11:57,0,1
2021/05/26 01:13:06,0,1
2021/05/26 01:13:21,0,1
2021/05/26 01:13:39,1,0
2021/05/26 01:13:50,0,1
2021/05/26 01:14:00,1,0
2021/05/26 01:15:47,1,0
2021/05/26 01:16:00,0,1
2021/05/26 01:16:15,0,1
2021/05/26 01:16:23,0,1
2021/05/26 01:16:33,0,1
2021/05/26 01:16:38,1,0
2021/05/26 01:17:43,0,1
2021/05/26 01:17:53,1,0
2021/05/26 01:18:10,0,1
2021/05/26 01:18:29,0,1
2021/05/26 01:20:18,0,1
2021/05/26 01:20:32,0,1
2021/05/26 01:21:20,0,1
2021/05/26 01:21:28,0,1
2021/05/26 01:21:44,0,1
2021/05/26 01:22:16,0,1
2021/05/26 01:22:27,0,1
2021/05/26 01:22:30,1,0
2021/05/26 01:22:56,1,0
2021/05/26 01:23:19,0,1
2021/05/26 01:23:53,0,1
2021/05/26 01:24:19,0,1
2021/05/26 01:24:26,0,1
2021/05/26 01:24:31,0,1
2021/05/26 01:24:44,1,0
2021/05/26 01:24:50,1,0
2021/05/26 01:25:08,1,0
2021/05/26 01:25:11,0,1
2021/05/26 01:25:49,0,1
2021/05/26 01:25:59,0,1
2021/05/26 01:26:03,1,0
2021/05/26 01:26:09,1,0
2021/05/26 01:26:15,0,1
2021/05/26 01:26:26,0,1
2021/05/26 01:26:40,1,0
2021/05/26 01:26:56,1,0
2021/05/26 01:27:00,1,0
2021/05/26 01:27:04,1,0
2021/05/26 01:27:05,0,1
2021/05/26 01:27:12,0,1
2021/05/26 01:27:51,1,0
2021/05/26 01:27:57,1,0
2021/05/26 01:30:01,0,1
2021/05/26 01:30:22,1,0
2021/05/26 01:30:30,0,1
2021/05/26 01:30:39,0,1
2021/05/26 01:30:49,1,0
2021/05/26 01:31:15,0,1
2021/05/26 01:31:34,0,1
2021/05/26 01:32:36,0,1
2021/05/26 01:33:04,0,1
2021/05/26 01:33:18,1,0
2021/05/26 01:33:28,0,1
2021/05/26 01:33:33,1,0
2021/05/26 01:33:48,0,1
2021/05/26 01:33:51,1,0
2021/05/26 01:34:01,1,0
2021/05/26 01:34:11,1,0
2021/05/26 01:34:30,1,0
2021/05/26 01:34:51,0,1
2021/05/26 01:35:06,0,1
2021/05/26 01:35:34,0,1
2021/05/26 01:35:49,0,1
2021/05/26 01:36:14,0,1
2021/05/26 01:36:27,0,1
2021/05/26 01:36:38,0,1
2021/05/26 01:36:41,1,0
2021/05/26 01:36:52,0,1
2021/05/26 01:37:03,1,0
2021/05/26 01:37:17,0,1
2021/05/26 01:37:36,0,1
2021/05/26 01:37:54,0,1
2021/05/26 01:38:03,0,1
2021/05/26 01:38:18,1,0
2021/05/26 01:39:46,0,1
2021/05/26 01:40:01,0,1
2021/05/26 01:40:04,1,0
2021/05/26 01:40:16,1,0
2021/05/26 01:40:27,1,0
2021/05/26 01:40:36,1,0
2021/05/26 01:40:46,1,0
2021/05/26 01:42:56,0,1
2021/05/26 01:44:20,0,1
2021/05/26 01:44:31,0,1
2021/05/26 01:44:36,0,1
2021/05/26 01:45:00,0,1
2021/05/26 01:45:03,1,0
2021/05/26 01:45:10,0,1
2021/05/26 01:46:37,1,0
2021/05/26 01:46:56,0,1
2021/05/26 01:47:17,0,1
2021/05/26 01:47:46,0,1
2021/05/26 01:47:51,1,0
2021/05/26 01:48:48,1,0
2021/05/26 01:49:09,1,0
2021/05/26 01:49:33,0,1
2021/05/26 01:53:00,0,1
2021/05/26 01:53:10,0,1
2021/05/26 01:53:16,1,0
2021/05/26 01:55:06,0,1
2021/05/26 01:56:07,0,1
2021/05/26 01:56:54,0,1
2021/05/26 01:57:05,0,1
2021/05/26 01:57:21,0,1
2021/05/26 01:59:09,0,1
2021/05/26 01:59:20,0,1
2021/05/26 01:59:43,0,1
2021/05/26 02:00:00,0,1
2021/05/26 02:00:20,1,0
2021/05/26 02:00:28,1,0
2021/05/26 02:00:38,0,1
2021/05/26 02:00:45,1,0
2021/05/26 02:01:08,0,1
2021/05/26 02:01:16,0,1
2021/05/26 02:01:19,1,0
2021/05/26 02:01:26,1,0
2021/05/26 02:01:41,0,1
2021/05/26 02:02:01,0,1
2021/05/26 02:02:12,1,0
2021/05/26 02:02:20,0,1
2021/05/26 02:02:31,0,1
2021/05/26 02:02:43,0,1
2021/05/26 02:02:50,1,0
2021/05/26 02:02:54,0,1
2021/05/26 02:03:18,1,0
2021/05/26 02:03:23,1,0
2021/05/26 02:03:31,1,0
2021/05/26 02:03:40,0,1
2021/05/26 02:03:49,0,1
2021/05/26 02:03:51,0,1
2021/05/26 02:04:11,0,1
2021/05/26 02:04:33,1,0
2021/05/26 02:04:42,0,1
2021/05/26 02:05:10,0,1
2021/05/26 02:05:29,0,1
2021/05/26 02:05:39,0,1
2021/05/26 02:05:53,0,1
2021/05/26 02:06:01,0,1
2021/05/26 02:06:08,0,1
2021/05/26 02:06:16,1,0
2021/05/26 02:06:25,0,1
2021/05/26 02:08:22,0,1
2021/05/26 02:08:32,1,0
2021/05/26 02:08:48,0,1
2021/05/26 02:08:54,0,1
2021/05/26 02:09:06,1,0
2021/05/26 02:09:25,1,0
2021/05/26 02:09:37,0,1
2021/05/26 02:09:52,1,0
2021/05/26 02:10:02,1,0
2021/05/26 02:10:46,1,0
2021/05/26 02:11:01,0,1
2021/05/26 02:11:07,1,0
2021/05/26 02:11:13,1,0
2021/05/26 02:11:26,1,0
2021/05/26 02:11:41,0,1
2021/05/26 02:11:53,0,1
2021/05/26 02:12:06,0,1
2021/05/26 02:12:20,0,1
2021/05/26 02:12:30,1,0
2021/05/26 02:12:40,0,1
2021/05/26 02:13:25,0,1
2021/05/26 02:13:37,0,1
2021/05/26 02:15:42,0,1
2021/05/26 02:16:48,0,1
2021/05/26 02:17:10,1,0
2021/05/26 02:17:26,0,1
2021/05/26 02:17:39,0,1
2021/05/26 02:17:54,1,0
2021/05/26 02:19:19,0,1
2021/05/26 02:19:22,1,0
2021/05/26 02:19:27,1,0
2021/05/26 02:21:16,1,0
2021/05/26 02:21:22,1,0
2021/05/26 02:21:40,1,0
2021/05/26 02:22:49,1,0
2021/05/26 02:23:11,1,0
2021/05/26 02:23:41,1,0
2021/05/26 02:23:49,1,0
2021/05/26 02:24:06,0,1
2021/05/26 02:24:24,1,0
2021/05/26 02:24:36,0,1
2021/05/26 02:24:54,1,0
2021/05/26 02:25:09,0,1
2021/05/26 02:25:13,1,0
2021/05/26 02:25:15,1,0
2021/05/26 02:25:23,0,1
2021/05/26 02:25:31,0,1
2021/05/26 02:25:52,0,1
2021/05/26 02:26:00,0,1
2021/05/26 02:26:13,0,1
2021/05/26 02:26:27,0,1
2021/05/26 02:26:39,0,1
2021/05/26 02:26:50,0,1
2021/05/26 02:27:10,0,1
2021/05/26 02:27:21,0,1
2021/05/26 02:27:25,1,0
2021/05/26 02:27:38,0,1
2021/05/26 02:27:49,0,1
2021/05/26 02:28:01,1,0
2021/05/26 02:28:13,0,1
2021/05/26 02:28:21,0,1
2021/05/26 02:28:42,0,1
2021/05/26 02:28:50,1,0
2021/05/26 02:28:58,0,1
2021/05/26 02:29:16,0,1
2021/05/26 02:29:40,0,1
2021/05/26 02:29:45,1,0
2021/05/26 02:29:53,0,1
2021/05/26 02:30:24,0,1
2021/05/26 02:30:30,1,0
2021/05/26 02:30:39,0,1
2021/05/26 02:30:54,0,1
2021/05/26 02:31:08,0,1
2021/05/26 02:31:32,1,0
2021/05/26 02:31:42,1,0
2021/05/26 02:32:10,0,1
2021/05/26 02:32:21,0,1
2021/05/26 02:32:24,1,0
2021/05/26 02:32:25,0,1
2021/05/26 02:32:40,0,1
2021/05/26 02:32:46,1,0
2021/05/26 02:32:52,1,0
2021/05/26 02:33:03,1,0
2021/05/26 02:33:14,0,1
2021/05/26 02:33:21,1,0
2021/05/26 02:33:33,0,1
2021/05/26 02:33:45,0,1
2021/05/26 02:34:38,0,1
2021/05/26 02:34:42,1,0
2021/05/26 02:34:55,1,0
2021/05/26 02:35:07,0,1
2021/05/26 02:35:28,0,1
2021/05/26 02:35:36,0,1
2021/05/26 02:35:45,0,1
2021/05/26 02:35:59,1,0
2021/05/26 02:36:02,1,0
2021/05/26 02:37:47,1,0
2021/05/26 02:37:59,0,1
2021/05/26 02:38:07,1,0
2021/05/26 02:38:11,1,0
2021/05/26 02:38:23,0,1
2021/05/26 02:38:28,0,1
2021/05/26 02:38:51,0,1
2021/05/26 02:39:06,1,0
2021/05/26 02:39:16,0,1
2021/05/26 02:40:23,1,0
2021/05/26 02:40:38,1,0
2021/05/26 02:40:45,1,0
2021/05/26 02:40:51,0,1
2021/05/26 02:41:16,0,1
2021/05/26 02:41:26,0,1
2021/05/26 02:41:34,1,0
2021/05/26 02:41:39,0,1
2021/05/26 02:42:00,0,1
2021/05/26 02:42:06,1,0
2021/05/26 02:42:15,1,0
2021/05/26 02:44:10,1,0
2021/05/26 02:44:13,1,0
2021/05/26 02:44:26,0,1
